decidim.budgets.projects.order_selected_projects.selected_projects.other,projects selected,pasirinkti projektai,,
decidim.budgets.projects.project.votes.one,vote,balsas,,
decidim.budgets.projects.project.votes.few,votes,balsai,,
decidim.budgets.projects.project.votes.other,votes,balsai,,
activerecord.models.decidim/comments/comment.one,Comment,Komentaras,,
activerecord.models.decidim/comments/comment.few,Comments,Komentarai,,
activerecord.models.decidim/comments/comment.other,Comments,Komentarai,,
activerecord.models.decidim/comments/comment_vote.one,Vote,Balsas,,
activerecord.models.decidim/comments/comment_vote.few,Votes,Balsai,,
activerecord.models.decidim/comments/comment_vote.other,Votes,Balsai,,
activerecord.models.decidim/conference.one,Conference,Konferencija,,
activerecord.models.decidim/conference.few,Conferences,Konferencijos,,
activerecord.models.decidim/conference.other,Conferences,Konferencijos,,
activerecord.models.decidim/conference_speaker.one,Conference speaker,Konferencijos pranešėjas,,
activerecord.models.decidim/conference_speaker.few,Conference speakers,Konferencijos pranešėjai,,
activerecord.models.decidim/conference_speaker.other,Conference speakers,Konferencijos pranešėjai,,
activerecord.models.decidim/conference_user_role.one,Conference user role,Konferencijos naudotojo vaidmuo,,
activerecord.models.decidim/conference_user_role.few,Conference user roles,Konferencijos naudotojo vaidmenys,,
activerecord.models.decidim/conference_user_role.other,Conference user roles,Konferencijos naudotojo vaidmenys,,
layouts.decidim.conferences.order_by_conferences.conferences.one,%{count} conference,%{count} konferencija,,
layouts.decidim.conferences.order_by_conferences.conferences.few,%{count} conferences,%{count} konferencijos,,
layouts.decidim.conferences.order_by_conferences.conferences.other,%{count} conferences,%{count} konferencijos,,
activerecord.models.decidim/amendment.one,Amendment,Pakeitimas,,
activerecord.models.decidim/amendment.few,Amendments,Pakeitimai,,
activerecord.models.decidim/amendment.other,Amendments,Pakeitimai,,
activerecord.models.decidim/endorsement.one,Endorsement,Pritarimas,,
activerecord.models.decidim/endorsement.few,Endorsements,Pritarimai,,
activerecord.models.decidim/endorsement.other,Endorsements,Pritarimai,,
activerecord.models.decidim/user.one,Participant,Dalyvis,,
activerecord.models.decidim/user.few,Participants,Dalyviai,,
activerecord.models.decidim/user.other,Participants,Dalyviai,,
activerecord.models.decidim/user_group.one,Group,Grupė,,
activerecord.models.decidim/user_group.few,Groups,Grupės,,
activerecord.models.decidim/user_group.other,Groups,Grupės,,
decidim.application.collection.documents.one,Document,Dokumentas,,
decidim.application.collection.documents.few,Documents,Dokumentai,,
decidim.application.collection.documents.other,Documents,Dokumentai,,
decidim.author.comments.one,comment,komentaras,,
decidim.author.comments.few,comments,komentarai,,
decidim.author.comments.other,comments,komentarai,,
decidim.author.endorsements.one,endorsement,pritarimas,,
decidim.author.endorsements.few,endorsements,pritarimai,,
decidim.author.endorsements.other,endorsements,pritarimai,,
decidim.authorization_modals.content.incomplete.invalid_field,%{field},%{field},,
decidim.collapsible_list.hidden_elements_count.one,and %{count} more,ir dar %{count},,
