decidim.participatory_processes.pages.home.highlighted_processes.active_processes,Active processes,Procesos activos,,
decidim.participatory_processes.pages.home.highlighted_processes.see_all_processes,See all processes,Ver todos los procesos,,
decidim.participatory_processes.participatory_processes.filters.counters.active.one,1 active process,1 proceso activo,,
decidim.participatory_processes.participatory_processes.filters.counters.active.other,%{count} active processes,%{count} procesos activos,,
decidim.participatory_processes.participatory_processes.filters.counters.all.one,1 process,1 proceso,,
decidim.participatory_processes.participatory_processes.filters.counters.all.other,%{count} processes,%{count} procesos,,
decidim.participatory_processes.participatory_processes.filters.counters.past.one,1 past process,1 proceso inactivo,,
decidim.participatory_processes.participatory_processes.filters.counters.past.other,%{count} past processes,%{count} procesos inactivos,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.one,1 upcoming process,1 proceso próximo,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.other,%{count} upcoming processes,%{count} procesos próximos,,
decidim.participatory_processes.participatory_processes.filters.explanations.no_active,No active processes,No hay procesos activos,,
decidim.participatory_processes.statistics.debates_count,Debates,Debates,,
decidim.participatory_processes.statistics.meetings_count,Meetings,Reuniones,,
decidim.participatory_processes.statistics.processes_count,Processes,Procesos,,
decidim.participatory_processes.statistics.proposals_count,Proposals,Propuestas,,
layouts.decidim.process_navigation.process_menu_item,The process,El proceso,,
decidim.participatory_spaces.highlighted_proposals.see_all,See all proposals (%{count}),Ver todas las propuestas (%{count}),,
decidim.proposals.last_activity.new_proposal_at_html,<span>New proposal at %{link}</span>,<span>Nueva propuesta en %{link}</span>,,
decidim.proposals.models.proposal.fields.id,ID,ID,,
decidim.proposals.proposals.count.proposals_count.one,%{count} proposal,%{count} propuesta,,
decidim.proposals.proposals.count.proposals_count.other,%{count} proposals,%{count} propuestas,,
decidim.proposals.proposals.index.new_proposal,New proposal,Nueva propuesta,,
decidim.proposals.proposals.index.view_proposal,View proposal,Ver propuesta,,
decidim.proposals.proposals.new.title,Create Your Proposal,Crea tu propuesta,,
decidim.proposals.proposals.proposal.view_proposal,View proposal,Ver propuesta,,
decidim.proposals.proposals.wizard_aside.back_from_step_1,Back to proposals,Volver a propuestas,,
decidim.proposals.proposals.wizard_aside.back_from_step_2,Back to proposals,Volver a propuestas,,
decidim.proposals.proposals.wizard_aside.info,You are creating a <strong>proposal</strong>.,Estás creando una <strong>propuesta</strong>.,,
decidim.proposals.proposals.wizard_steps.step_1,Create your proposal,Crea tu propuesta,,
decidim.proposals.proposals.wizard_steps.step_4,Publish your proposal,Publicar propuesta,,
decidim.proposals.proposals.wizard_steps.title,Proposal creation steps,Cómo crear una propuesta,,
decidim.proposals.versions.proposals.back_to_resource,Go back to proposal,Volver a la propuesta,,
decidim.verifications.id_documents.dni,DNI,DNI,,
decidim.verifications.id_documents.nie,NIE,NIE,,
